HJD,Detr_Norm_Flux
2454966.248593,1.000041
2454966.269027,0.999808
2454966.289462,0.999976
2454966.309896,1.000061
2454966.330330,0.999976
2454966.350765,1.000054
2454966.371199,0.999963
2454966.391634,0.999969
2454966.412068,0.999957
2454966.432503,0.999988
2454966.452937,0.999957
2454966.473371,0.999930
2454966.493806,1.000007
2454966.514240,1.000040
2454966.534675,1.000004
2454966.555109,0.999900
2454966.575544,1.000104
2454966.595978,0.999904
2454966.616413,1.000123
2454966.636847,0.999930
2454966.657282,0.999868
2454966.677716,1.000042
2454966.698150,0.999813
2454966.718585,0.999831
2454966.739019,0.999867
2454966.759454,0.999916
2454966.779888,1.000101
2454966.800322,0.999985
2454966.820757,0.999970
2454966.841191,0.999902
2454966.861626,0.999983
2454966.882060,1.000118
2454966.902495,1.000092
2454966.922929,0.999905
2454966.943364,0.999981
2454966.963798,0.999822
2454966.984232,1.000046
2454967.004667,0.999795
2454967.025101,1.000168
2454967.045536,1.000010
2454967.065970,0.999797
2454967.086405,1.000137
2454967.106839,0.999962
2454967.127273,0.999903
2454967.147708,0.999975
2454967.168142,0.999344
2454967.188577,0.994977
2454967.209011,0.993367
2454967.229446,0.992914
2454967.249880,0.992589
2454967.270314,0.992481
2454967.290749,0.992468
2454967.311183,0.992798
2454967.331618,0.992993
2454967.352052,0.993764
2454967.372487,0.997272
2454967.413356,1.000033
2454967.433790,1.000141
2454967.454224,1.000117
2454967.474659,1.000072
2454967.495093,0.999859
2454967.515528,0.999973
2454967.535962,0.999980
2454967.556396,1.000079
2454967.576831,0.999939
2454967.597265,0.999932
2454967.617700,1.000142
2454967.638134,0.999921
2454967.658569,0.999941
2454967.679003,0.999911
2454967.699438,0.999875
2454967.719872,1.000092
2454967.740307,1.000017
2454967.760741,0.999822
2454967.781175,0.999941
2454967.801610,1.000111
2454967.822044,0.999903
2454967.842479,0.999979
2454967.862913,1.000089
2454967.883348,0.999995
2454967.903782,0.999931
2454967.924216,0.999968
2454967.944651,0.999910
2454967.965085,0.999807
2454967.985520,0.999840
2454968.005954,1.000015
2454968.026389,0.999910
2454968.046823,0.999979
2454968.067257,0.999876
2454968.087692,1.000011
2454968.108126,1.000118
2454968.128561,0.999827
2454968.148995,1.000067
2454968.169430,0.999907
2454968.189864,1.000077
2454968.210298,0.999966
2454968.230733,1.000032
2454968.251167,0.999993
2454968.271602,1.000039
2454968.292036,1.000066
2454968.312471,0.999992
2454968.332905,1.000010
2454968.353339,0.999963
2454968.373774,0.999962
2454968.394208,0.999945
2454968.414643,0.999989
2454968.435077,0.999991
2454968.455512,0.999811
2454968.475946,0.999847
2454968.496381,0.999925
2454968.516815,1.000095
2454968.537249,1.000144
2454968.557684,0.999936
2454968.578118,1.000198
2454968.598553,0.999874
2454968.618987,1.000012
2454968.639422,1.000017
2454968.659856,1.000054
2454968.680291,0.999797
2454968.700725,0.999824
2454968.721159,0.999819
2454968.741594,1.000053
2454968.762028,0.999985
2454968.782463,0.999913
2454968.802897,1.000081
2454968.823332,0.999982
2454968.843766,0.999874
2454968.864200,1.000059
2454968.884635,1.000126
2454968.905069,0.999862
2454968.925504,0.999764
2454968.945938,0.999858
2454968.966373,1.000043
2454968.986807,0.999897
2454969.007241,0.999992
2454969.027676,0.999823
2454969.048110,1.000033
2454969.068545,1.000114
2454969.088979,0.999989
2454969.109414,1.000100
2454969.129848,1.000036
2454969.150282,1.000008
2454969.170717,0.999913
2454969.191151,0.999915
2454969.211586,1.000009
2454969.232020,0.999937
2454969.252455,1.000048
2454969.272889,0.999942
2454969.293323,1.000039
2454969.313758,0.999879
2454969.334192,0.999815
2454969.354627,1.000015
2454969.375061,1.000020
2454969.395496,0.999983
2454969.415930,1.000142
2454969.436365,1.000093
2454969.456799,1.000154
2454969.477233,0.999950
2454969.497668,0.999857
2454969.538537,0.999894
2454969.558971,0.999731
2454969.579406,0.999791
2454969.599840,1.000007
2454969.620274,1.000016
2454969.640709,1.000025
2454969.661143,0.999768
2454969.681578,0.999954
2454969.702012,0.999977
2454969.722447,1.000079
2454969.742881,0.999952
2454969.763316,1.000082
2454969.783750,0.999873
2454969.804184,0.999845
2454969.824619,0.999902
2454969.845053,1.000098
2454969.865488,1.000051
2454969.885922,1.000057
2454969.906357,0.999826
2454969.926791,0.999898
2454969.947225,0.999978
2454969.967660,0.999948
2454969.988094,0.999977
2454970.008529,1.000115
2454970.028963,1.000123
2454970.049398,1.000192
2454970.069832,0.999846
2454970.090266,0.999962
2454970.110701,1.000063
2454970.131135,0.999932
2454970.151570,1.000211
2454970.172004,0.999969
2454970.192439,0.999983
2454970.212873,0.999958
2454970.233308,0.999933
2454970.253742,1.000016
2454970.274176,0.999958
2454970.294611,0.999860
2454970.315045,1.000031
2454970.335480,1.000026
2454970.355914,1.000032
2454970.396783,1.000064
2454970.417217,1.000085
2454970.437652,0.999845
2454970.458086,0.999938
2454970.478521,0.999824
2454970.498955,1.000036
2454970.519390,0.999752
2454970.539824,0.999933
2454970.560259,1.000206
2454970.580693,0.999960
2454970.601127,1.000079
2454970.621562,1.000108
2454970.641996,0.999993
2454970.662431,0.999925
2454970.682865,0.999907
2454970.703300,0.999998
2454970.723734,0.999901
2454970.744168,0.999848
2454970.764603,0.999888
2454970.785037,0.999952
2454970.805472,1.000041
2454970.825906,0.999907
2454970.846341,1.000011
2454970.866775,0.999992
2454970.887209,1.000029
2454970.907644,0.999958
2454970.928078,0.999993
2454970.948513,0.999814
2454970.968947,1.000018
2454970.989382,1.000043
2454971.009816,0.999895
2454971.030250,0.999878
2454971.050685,0.999907
2454971.071119,0.999910
2454971.091554,0.999977
2454971.111988,0.999896
2454971.132423,1.000042
2454971.152857,0.999810
2454971.173291,0.999913
2454971.193726,0.999925
2454971.214160,0.999995
2454971.234595,0.999918
2454971.255029,0.999830
2454971.275464,0.999939
2454971.295898,1.000055
2454971.316333,1.000074
2454971.336767,1.000030
2454971.357202,1.000067
2454971.377636,1.000002
2454971.398070,1.000142
2454971.418505,1.000160
2454971.438939,1.000034
2454971.459374,1.000179
2454971.479808,1.000060
2454971.500243,1.000067
2454971.520677,0.999932
2454971.541111,1.000005
2454971.561546,0.999953
2454971.581980,0.999827
2454971.602415,0.999823
2454971.622849,1.000029
2454971.643284,0.999902
2454971.663718,1.000051
2454971.684152,0.999866
2454971.704587,0.999802
2454971.725021,1.000083
2454971.745456,0.999847
2454971.765890,0.999986
2454971.786325,0.999889
2454971.806759,1.000160
2454971.827193,0.999966
2454971.847628,0.999958
2454971.868062,1.000087
2454971.888497,0.999835
2454971.908931,1.000069
2454971.929366,0.999922
2454971.949800,0.999966
2454971.970234,0.999913
2454971.990669,0.999955
2454972.011103,1.000002
2454972.031538,1.000014
2454972.051972,0.999681
2454972.072407,0.995518
2454972.092841,0.993303
2454972.113276,0.992611
2454972.133710,0.992617
2454972.154144,0.992541
2454972.174579,0.992476
2454972.195013,0.992722
2454972.215448,0.993004
2454972.235882,0.993645
2454972.256317,0.996797
2454972.276751,0.999806
2454972.297185,1.000077
2454972.317620,0.999811
2454972.338054,1.000007
2454972.358489,0.999985
2454972.378923,1.000121
2454972.399358,1.000113
2454972.419792,1.000060
2454972.440227,1.000046
2454972.460661,0.999987
2454972.481095,1.000097
2454972.501530,0.999999
2454972.521964,0.999960
2454972.542399,0.999931
2454972.562833,0.999810
2454972.583268,1.000034
2454972.603702,0.999978
2454972.624136,0.999989
2454972.644571,0.999830
2454972.665005,0.999882
2454972.685440,1.000107
2454972.705874,1.000007
2454972.726309,0.999866
2454972.746743,1.000176
2454972.767177,0.999812
2454972.787612,0.999997
2454972.808046,1.000040
2454972.828481,0.999936
2454972.848915,0.999944
2454972.869350,0.999954
2454972.889784,0.999928
2454972.910218,0.999845
2454972.930653,0.999921
2454972.951087,1.000007
2454972.971522,0.999932
2454972.991956,1.000068
2454973.012391,0.999977
2454973.032825,1.000083
2454973.053260,0.999826
2454973.073694,0.999790
2454973.094128,1.000038
2454973.114563,1.000202
2454973.134997,1.000051
2454973.155432,1.000094
2454973.175866,0.999837
2454973.196301,0.999982
2454973.216735,0.999909
2454973.237169,1.000073
2454973.257604,1.000065
2454973.278038,0.999948
2454973.298473,0.999995
2454973.318907,1.000111
2454973.339342,0.999764
2454973.380210,0.999984
2454973.400645,0.999915
2454973.421079,1.000040
2454973.441514,0.999904
2454973.461948,0.999715
2454973.482383,0.999926
2454973.502817,0.999962
2454973.523251,0.999964
2454973.543686,0.999832
2454973.564120,1.000140
2454973.584555,1.000036
2454973.604989,1.000006
2454973.625424,0.999870
2454973.645858,0.999986
2454973.666292,1.000004
2454973.686727,0.999952
2454973.707161,1.000008
2454973.727596,0.999943
2454973.748030,0.999858
2454973.768465,1.000146
2454973.788899,0.999938
2454973.809334,1.000021
2454973.829768,0.999942
2454973.850203,1.000007
2454973.870637,1.000025
2454973.891071,0.999938
2454973.911506,1.000000
2454973.931940,1.000070
2454973.952375,0.999762
2454973.972809,1.000116
2454973.993243,1.000178
2454974.013678,1.000022
2454974.034112,1.000044
2454974.054547,0.999857
2454974.074981,0.999995
2454974.095416,0.999990
2454974.115850,0.999953
2454974.136285,0.999993
2454974.156719,0.999928
2454974.177153,0.999850
