,HJD,Detr_Norm_Flux
761,2454970.4580860003,0.9999379999999999
762,2454970.478521,0.9998239999999999
763,2454970.4989549997,1.0000360000000001
764,2454970.51939,0.9997520000000001
765,2454970.539824,0.999933
766,2454970.560259,1.000206
767,2454970.580693,0.9999600000000001
768,2454970.601127,1.0000790000000002
769,2454970.621562,1.000108
770,2454970.641996,
771,2454970.6624310003,0.999925
772,2454970.6828650003,
773,2454970.7033,
774,2454970.723734,0.999901
775,2454970.744168,
776,2454970.7646029997,0.9998879999999999
777,2454970.7850369997,0.9999520000000001
778,2454970.805472,
779,2454970.825906,0.999907
780,2454970.846341,1.000011
781,2454970.866775,0.999992
782,2454970.887209,
783,2454970.907644,
784,2454970.928078,0.999993
785,2454970.9485130003,0.999814
786,2454970.9689470003,1.000018
787,2454970.989382,1.000043
788,2454971.009816,0.9998950000000001
789,2454971.03025,0.999878
790,2454971.0506849997,0.999907
791,2454971.0711189997,0.9999100000000001
792,2454971.091554,0.999977
793,2454971.111988,0.9998959999999999
794,2454971.132423,1.000042
795,2454971.152857,0.9998100000000001
796,2454971.173291,0.9999129999999999
797,2454971.193726,0.999925
798,2454971.21416,0.9999950000000001
799,2454971.2345950003,
800,2454971.255029,
801,2454971.2754639997,0.9999389999999999
802,2454971.295898,1.000055
803,2454971.316333,1.000074
804,2454971.3367669997,1.00003
805,2454971.357202,1.000067
806,2454971.377636,1.000002
807,2454971.39807,
808,2454971.418505,1.00016
809,2454971.438939,1.000034
810,2454971.4593740003,1.0001790000000002
811,2454971.4798080004,
812,2454971.500243,
813,2454971.520677,0.9999319999999999
814,2454971.541111,1.000005
815,2454971.5615459997,0.9999530000000001
816,2454971.58198,0.999827
817,2454971.602415,
818,2454971.622849,
819,2454971.643284,0.9999020000000001
820,2454971.663718,1.000051
821,2454971.684152,0.999866
822,2454971.704587,0.9998020000000001
823,2454971.725021,1.000083
824,2454971.7454560003,0.9998469999999999
825,2454971.76589,0.999986
826,2454971.786325,
827,2454971.806759,1.00016
828,2454971.827193,0.999966
829,2454971.8476279997,0.999958
830,2454971.868062,
831,2454971.888497,0.999835
832,2454971.908931,1.000069
833,2454971.929366,0.999922
834,2454971.9498,
835,2454971.970234,0.9999129999999999
836,2454971.990669,0.9999549999999999
837,2454972.011103,
838,2454972.0315380003,1.000014
839,2454972.051972,0.9996809999999999
840,2454972.0724069998,0.995518
841,2454972.092841,0.993303
842,2454972.1132759997,0.992611
843,2454972.1337099997,0.992617
844,2454972.154144,0.992541
845,2454972.174579,0.992476
846,2454972.195013,0.9927219999999999
847,2454972.215448,0.9930040000000001
848,2454972.235882,0.9936450000000001
849,2454972.256317,0.9967969999999999
850,2454972.276751,0.999806
851,2454972.297185,1.000077
852,2454972.31762,
853,2454972.338054,1.0000069999999999
854,2454972.358489,0.999985
855,2454972.378923,1.0001209999999998
856,2454972.399358,1.000113
857,2454972.4197919997,1.00006
858,2454972.440227,1.000046
859,2454972.460661,
860,2454972.481095,1.000097
861,2454972.50153,0.999999
862,2454972.521964,0.9999600000000001
863,2454972.5423990004,0.9999309999999999
864,2454972.562833,0.9998100000000001
865,2454972.583268,1.000034
866,2454972.603702,0.999978
867,2454972.624136,0.9999889999999999
868,2454972.644571,
869,2454972.665005,
870,2454972.68544,1.000107
871,2454972.705874,1.0000069999999999
872,2454972.726309,0.999866
873,2454972.746743,1.000176
874,2454972.767177,0.999812
875,2454972.787612,0.9999969999999999
876,2454972.808046,
877,2454972.828481,0.999936
878,2454972.848915,
879,2454972.86935,0.9999540000000001
880,2454972.889784,0.999928
881,2454972.910218,0.9998450000000001
882,2454972.930653,0.999921
883,2454972.951087,1.0000069999999999
884,2454972.971522,0.9999319999999999
885,2454972.991956,1.000068
886,2454973.012391,0.999977
887,2454973.032825,1.000083
888,2454973.05326,0.999826
889,2454973.073694,
890,2454973.094128,1.000038
891,2454973.114563,1.000202
892,2454973.134997,
893,2454973.155432,1.000094
894,2454973.175866,
895,2454973.1963009997,0.9999819999999999
896,2454973.216735,0.999909
897,2454973.237169,1.000073
898,2454973.257604,1.000065
899,2454973.278038,0.999948
900,2454973.298473,0.9999950000000001
901,2454973.318907,1.000111
902,2454973.339342,
